0 1  0 0   -1 0
1000 1  0 0   -1 0
2000 1  0 0   -1 0
3000 1  0 0   -1 0
4000 1  0 0   -1 0
5000 1  0 0   -1 0
6000 1  0 0   -1 0
7000 1  0 0   -1 0
8000 1  0 0   -1 0
9000 1  0 0   -1 0
10000 1  0 0   -1 0
11000 1  0 0   -1 0
12000 1  0 0   -1 0
13000 1  0 0   -1 0
14000 1  0 0   -1 0
15000 1  0 0   -1 0
16000 1  0 0   -1 0
17000 1  0 0   -1 0
18000 1  0 0   -1 0
19000 1  0 0   -1 0
20000 1  0 0   -1 0
21000 1  0 0   -1 0
22000 1  0 0   -1 0
23000 1  0 0   -1 0
24000 1  0 0   -1 0
25000 1  0 0   -1 0
26000 1  0 0   -1 0
27000 1  0 0   -1 0
28000 1  0 0   -1 0
29000 1  0 0   -1 0
30000 1  0 0   -1 0
31000 1  0 0   -1 0
32000 1  0 0   -1 0
33000 1  0 0   -1 0
34000 1  0 0   -1 0
35000 1  0 0   -1 0
36000 1  0 0   -1 0
37000 1  0 0   -1 0
38000 1  0 0   -1 0
39000 1  0 0   -1 0
40000 1  0 0   -1 0
41000 1  0 0   -1 0
42000 1  0 0   -1 0
43000 1  0 0   -1 0
44000 1  0 0   -1 0
45000 1  0 0   -1 0
46000 1  0 0   -1 0
47000 1  0 0   -1 0
48000 1  0 0   -1 0
49000 1  0 0   -1 0
50000 1  0 0   -1 0
